Date;Price;Open;High;Low;Vol.;Change %;;3/27/2023;23,08;;2/20/2013;28,65
1/3/2012;29,57;27,98;29,73;27,91;35.83K;5,94%;;3/24/2023;23,25;;2/21/2013;28,73
1/4/2012;29,1;29,69;29,74;28,9;36.12K;-1,61%;;3/23/2023;23,14;;2/22/2013;28,49
1/5/2012;29,3;29,11;29,62;28,69;39.30K;0,68%;;3/22/2023;22,68;;2/25/2013;29,02
1/6/2012;28,68;29,29;29,46;28,57;38.61K;-2,09%;;3/21/2023;22,32;;2/26/2013;29,29
1/9/2012;28,78;28,77;29,21;28,55;30.25K;0,35%;;3/20/2023;22,53;;2/27/2013;28,99
1/10/2012;29,82;28,98;30,31;28,91;40.68K;3,59%;;3/17/2023;22,35;;2/28/2013;28,43
1/11/2012;29,89;29,89;30,24;29,55;36.83K;0,25%;;3/16/2023;21,59;;3/1/2013;28,49
1/12/2012;30,12;29,95;30,68;29,87;35.51K;0,78%;;3/15/2023;21,77;;3/4/2013;28,5
1/13/2012;29,52;30,2;30,25;29,42;35.18K;-2,00%;;3/14/2023;21,93;;3/5/2013;28,6
1/16/2012;30,14;29,67;30,57;29,46;39.66K;2,08%;;3/13/2023;21,79;;3/6/2013;28,8
1/17/2012;30,14;29,67;30,57;29,46;38.77K;0,00%;;3/10/2023;20,38;;3/7/2013;28,81
1/18/2012;30,54;30,07;30,59;29,74;42.43K;1,35%;;3/9/2023;20,03;;3/8/2013;28,95
1/19/2012;30,51;30,53;30,9;30,34;32.46K;-0,11%;;3/8/2023;20,01;;3/11/2013;28,85
1/20/2012;31,68;30,61;32,21;30,28;42.78K;3,82%;;3/7/2023;20,05;;3/12/2013;29,17
1/23/2012;32,27;32,11;32,78;31,79;41.52K;1,88%;;3/6/2023;20,98;;3/13/2013;28,96
1/24/2012;31,98;32,35;32,47;31,86;29.39K;-0,91%;;3/3/2023;21,24;;3/14/2013;28,81
1/25/2012;33,12;32,05;33,4;31,53;51.80K;3,58%;;3/2/2023;20,77;;3/15/2013;28,85
1/26/2012;33,74;33,25;33,79;32,98;38.18K;1,88%;;3/1/2023;20,96;;3/18/2013;28,87
1/27/2012;33,79;33,42;33,97;33,24;32.30K;0,14%;;2/28/2023;20,96;;3/19/2013;28,84
