Date;Price;Open;High;Low;Vol.;Change %;;;
1/2/2012;0,7733;0,7727;0,7742;0,7709;;0,06%;;2/20/2013;0,7530
1/3/2012;0,7663;0,773;0,7733;0,7646;;-0,91%;;2/21/2013;0,7583
1/4/2012;0,7726;0,7662;0,7754;0,7648;;0,82%;;2/22/2013;0,7585
1/5/2012;0,7823;0,7725;0,7832;0,7723;;1,26%;;2/25/2013;0,7654
1/6/2012;0,7862;0,782;0,7875;0,7803;;0,50%;;2/26/2013;0,7655
1/9/2012;0,7834;0,7876;0,7895;0,782;;-0,36%;;2/27/2013;0,7608
1/10/2012;0,7828;0,7833;0,7849;0,78;;-0,08%;;2/28/2013;0,7653
1/11/2012;0,7871;0,7827;0,7897;0,7817;;0,55%;;3/1/2013;0,7680
1/12/2012;0,7797;0,7869;0,7875;0,7784;;-0,94%;;3/4/2013;0,7680
1/13/2012;0,7891;0,7797;0,7922;0,7763;;1,21%;;3/5/2013;0,7667
1/16/2012;0,7896;0,7911;0,7922;0,788;;0,06%;;3/6/2013;0,7698
1/17/2012;0,7851;0,7895;0,7906;0,7806;;-0,57%;;3/7/2013;0,7630
1/18/2012;0,7776;0,7849;0,7853;0,7772;;-0,96%;;3/8/2013;0,7692
1/19/2012;0,7714;0,7777;0,779;0,7708;;-0,80%;;3/11/2013;0,7666
1/20/2012;0,7732;0,7711;0,776;0,7699;;0,23%;;3/12/2013;0,7674
1/23/2012;0,7674;0,7768;0,777;0,766;;-0,75%;;3/13/2013;0,7718
1/24/2012;0,7679;0,7675;0,7721;0,7655;;0,07%;;3/14/2013;0,7691
1/25/2012;0,7629;0,7674;0,7734;0,762;;-0,65%;;3/15/2013;0,7647
1/26/2012;0,7633;0,763;0,7641;0,7584;;0,05%;;3/18/2013;0,7721
1/27/2012;0,756;0,7631;0,7646;0,7558;;-0,96%;;3/19/2013;0,7769
1/30/2012;0,7612;0,756;0,7648;0,7557;;0,69%;;3/20/2013;0,7732
1/31/2012;0,7647;0,7612;0,7668;0,7567;;0,46%;;3/21/2013;0,7751
2/1/2012;0,76;0,7643;0,7679;0,7565;;-0,61%;;3/22/2013;0,7700
2/2/2012;0,7607;0,7597;0,7642;0,7576;;0,09%;;3/25/2013;0,7779
2/3/2012;0,7608;0,7607;0,7654;0,7572;;0,01%;;3/26/2013;0,7777
2/6/2012;0,7619;0,7624;0,7675;0,7608;;0,14%;;3/27/2013;0,7824
2/7/2012;0,754;0,7613;0,7641;0,7534;;-1,04%;;3/28/2013;0,7802
2/8/2012;0,7543;0,754;0,7563;0,7523;;0,04%;;3/29/2013;0,7800
2/9/2012;0,7527;0,7541;0,7568;0,7505;;-0,21%;;4/1/2013;0,7787
2/10/2012;0,7587;0,7527;0,7601;0,7522;;0,80%;;4/2/2013;0,7801
2/13/2012;0,758;0,7569;0,7582;0,7527;;-0,09%;;4/3/2013;0,7786
2/14/2012;0,7623;0,7579;0,7645;0,7565;;0,57%;;4/4/2013;0,7733
2/15/2012;0,7652;0,7617;0,7666;0,758;;0,38%;;4/5/2013;0,7698
2/16/2012;0,7613;0,7652;0,7708;0,7598;;-0,51%;;4/8/2013;0,7682
2/17/2012;0,7603;0,7613;0,7624;0,7576;;-0,13%;;4/9/2013;0,7644
2/20/2012;0,7552;0,7583;0,7591;0,7531;;-0,67%;;4/10/2013;0,7651
2/21/2012;0,7554;0,7549;0,7584;0,7522;;0,03%;;4/11/2013;0,7631
2/22/2012;0,755;0,7554;0,757;0,7537;;-0,05%;;4/12/2013;0,7629
2/23/2012;0,7476;0,7549;0,7558;0,7475;;-0,98%;;4/15/2013;0,7665
2/24/2012;0,743;0,7476;0,7488;0,7414;;-0,62%;;4/16/2013;0,7588
2/27/2012;0,7463;0,7426;0,7482;0,7417;;0,44%;;4/17/2013;0,7672
2/28/2012;0,7427;0,7463;0,7469;0,7422;;-0,48%;;4/18/2013;0,7663
2/29/2012;0,7503;0,7425;0,7511;0,7414;;1,02%;;4/19/2013;0,7661
3/1/2012;0,7511;0,7504;0,7529;0,7486;;0,11%;;4/22/2013;0,7652
3/2/2012;0,7577;0,751;0,7583;0,7499;;0,88%;;4/23/2013;0,7692
3/5/2012;0,7567;0,758;0,76;0,7551;;-0,13%;;4/24/2013;0,7682
3/6/2012;0,7627;0,7564;0,7632;0,7559;;0,79%;;4/25/2013;0,7684
3/7/2012;0,7603;0,7624;0,7635;0,7595;;-0,31%;;4/26/2013;0,7675
